Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Eline | FFXIV | Bleach | DBD |,@vampiresauce,2023-10-31T23:12:53.000Z,False,That was terrible! NEXT!!! BUT FIRST....nacho break,1,0,4,90,[],[],[],https://pbs.twimg.com/profile_images/1868594290286374912/-HMQdNg2_normal.jpg,https://x.com/vampiresauce/status/1719492667002810864,tweet_id:1719492667002810864
Dee,@washmysocks,2023-10-31T23:12:44.000Z,False,who’s gonna play #dbd with me tonightttt #spooky #Halloween #Xbox,0,0,2,27,"['#dbd', '#spooky', '#Halloween', '#Xbox']",[],[],https://pbs.twimg.com/profile_images/1479276351513374723/Z9MDdF0D_normal.jpg,https://x.com/washmysocks/status/1719492632055791897,tweet_id:1719492632055791897
ゆうくん,@alicenine_dbd,2023-10-31T23:12:43.000Z,False,りなちゃんおはようイルミネーションめっちゃ綺麗雪めっちゃすごいね スキー楽しそうだ,0,0,0,51,[],[],"['\\u2600\\ufe0f', '\\u263a\\ufe0f', '\\u2728', '\\u2744\\ufe0f', '\\u2728', '\\U0001f973']",https://pbs.twimg.com/profile_images/1896180428559761408/9hPLsoYf_normal.jpg,https://x.com/alicenine_dbd/status/1719492625508839705,tweet_id:1719492625508839705
Grand,@Grand7Dad,2023-10-31T23:12:32.000Z,False,how are they gonna say omori among us dbd and spelunky are that low,0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1907156611589984256/catQrO0j_normal.jpg,https://x.com/Grand7Dad/status/1719492580554240370,tweet_id:1719492580554240370
とぅるちゃん@子狐Vtuber,とぅるちゃん@子狐Vtuber,2023-10-31T23:12:31.000Z,False,DbD遊ばないのにくまちゃんスキンが欲しいのだわ…( ˘ω˘)ﾓｺﾓｺ…,0,0,0,82,[],[],[],https://pbs.twimg.com/profile_images/1906908674939031552/YpHKdSDy_normal.jpg,https://x.com/toluruchan/status/1719492577257468385,tweet_id:1719492577257468385
I hate mmr so damn much,@ScottyTerrell8,2023-10-31T23:12:07.000Z,False,I like how I keep seeing shit about how the survivors ppl r getting r trash meanwhile the ones I'm getting know what their doing and play like seal team 6 so all I have to say is get me what everyone else is getting so I can actually chill playing killer like when dbd was fun,0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1304973869657317376/71P-fHXC_normal.jpg,https://x.com/ScottyTerrell8/status/1719492473729216788,tweet_id:1719492473729216788
WatchMedusa,@WatchMedusa,2023-10-31T23:12:04.000Z,False,Acabo de salir de una partida de #dbd de más de una hora... Dejaron tres motores juntos y era un arponero. Nosotros cuatro y uno solo un cuelgue. Morí obvio y la partida seguía ...,0,1,0,29,['#dbd'],[],[],https://pbs.twimg.com/profile_images/1683910079290957825/jrnBo4NY_normal.jpg,https://x.com/WatchMedusa/status/1719492462865973754,tweet_id:1719492462865973754
Eline | FFXIV | Bleach | DBD |,@vampiresauce,2023-10-31T23:11:59.000Z,False,I wish. But yeah I recommend it actually!,0,0,1,16,[],[],[],https://pbs.twimg.com/profile_images/1868594290286374912/-HMQdNg2_normal.jpg,https://x.com/vampiresauce/status/1719492444058726792,tweet_id:1719492444058726792
Mai,@MaiMai_dbd,2023-10-31T23:11:59.000Z,False,ここまで加工しなくても良かったんだけどな,1,0,1,28,[],[],"['\\U0001f979', '\\U0001f4a6']",https://pbs.twimg.com/profile_images/1438638718877798400/h72pdo4z_normal.jpg,https://x.com/MaiMai_dbd/status/1719492443069087875,tweet_id:1719492443069087875
ぴぴ丸,@pipimaruch_0101,2023-10-31T23:11:56.000Z,False,おはようございます寒い！霧！今日から早出勤僕は5時半から仕事してます世間は今週3連休か！羨ましい〜今日もとりあえず頑張ります学校、仕事ふぁいとー今日の配信はDBD配信やります15時〜15時半頃です結構頑張ってる,0,0,16,384,[],[],"['\\u2600\\ufe0f', '\\U0001f4ad', '\\U0001f631', '\\U0001fae8', '\\U0001f979', '\\U0001f4aa', '\\u2728', '\\U0001f606', '\\U0001f514', '\\u270c\\ufe0f']",https://pbs.twimg.com/profile_images/1575972706985443328/dL_yKeRL_normal.jpg,https://x.com/pipimaruch_0101/status/1719492427743101240,tweet_id:1719492427743101240
